joint_index,joint_name,Fc,B,gravity_offset,rmse,r2,n_trials_used,n_trials_excluded,qdot_min,qdot_max,tau_min,tau_max,intercept_pos,B_pos,intercept_neg,B_neg,n_trials_total,n_files
0,joint_1_1,0.019607575878186574,0.09430760142526348,0.0027483929521546716,0.003220764296163289,0.9997264178641379,120,0,-2.990772785318676,2.945533572600879,-0.3,0.3,0.022355968830341244,0.0940785274622578,-0.0168591829260319,0.09453667538826918,120,1
1,joint_1_2,0.023657135172722374,0.09199139392369438,-0.002705483768415267,0.002806703026419759,0.9997938567181343,119,1,-2.971841453826543,3.01372599398299,-0.3,0.3,0.020951651404307107,0.09236291505926578,-0.02636261894113764,0.09161987278812299,120,1
2,joint_1_3,0.03601445604109944,0.09315150240129741,-0.011968683305631148,0.01122300420844546,0.997200981700827,100,20,-2.722558823401279,2.9553019582365265,-0.3,0.3,0.024045772735468287,0.0936026005361993,-0.04798313934673058,0.09270040426639552,120,1
3,joint_1_4,0.021485906712354976,0.0902294824496654,0.0005950838181161232,0.0007922532782453638,0.9999860518831802,100,20,-3.0989769432493026,3.098137122870827,-0.3,0.3,0.0220809905304711,0.09003050826892023,-0.020890822894238853,0.09042845663041058,120,1
4,joint_2_1,0.013294978593062749,0.10378990426772544,-0.006874984163749853,0.007958337012277496,0.9984595878415841,110,10,-2.7068110499439935,2.8860213317965937,-0.3,0.3,0.006419994429312895,0.10339233282736446,-0.020169962756812602,0.10418747570808642,120,1
5,joint_2_2,0.027754669649239352,0.09078314944554144,0.00885860169224162,0.009524432696729437,0.9977936697484345,110,10,-3.0889977557431747,2.890329327026148,-0.3,0.3,0.03661327134148097,0.09097175482950659,-0.01889606795699773,0.09059454406157631,120,1
6,joint_2_3,0.04305190077526972,0.0880065752003679,0.0048716179293256945,0.0034349601677823925,0.9997580468203305,90,30,-2.9642012483606166,2.9065631195792414,-0.3,0.3,0.047923518704595415,0.08716972587039583,-0.038180282845944026,0.08884342453033998,120,1
7,joint_2_4,0.0223278975916141,0.09131011168970596,0.00012651679461477341,0.0015477911615915262,0.9999467631671133,100,20,-3.079670784705486,3.027408538002065,-0.3,0.3,0.022454414386228874,0.09194079508118144,-0.022201380796999327,0.09067942829823046,120,1
8,joint_3_1,0.036207195778725276,0.09509403177850698,0.010456335620609615,0.007952074639653146,0.9987032722083433,90,30,-2.8542321181566512,2.733575815109858,-0.3,0.3,0.04666353139933489,0.09348678634514258,-0.025750860158115663,0.09670127721187137,120,1
9,joint_3_2,0.020294022086219114,0.09863172311245343,0.010119041367467937,0.010336019905289533,0.9974016421697713,110,10,-2.9330980594320915,2.72836892125857,-0.3,0.3,0.03041306345368705,0.09862850501287103,-0.010174980718751175,0.09863494121203582,120,1
10,joint_3_3,0.03399841164005371,0.09204687935294484,-0.0016834984207524835,0.0012116914702392351,0.9999673734173544,100,20,-2.904034326617725,2.906389041451706,-0.3,0.3,0.03231491321930123,0.09241118266185028,-0.0356819100608062,0.09168257604403938,120,1
11,joint_3_4,0.031154943451411107,0.09335976574189107,0.002161623270308652,0.0027590593344532133,0.9998308353686437,100,20,-2.91811286470276,2.8770570370501836,-0.3,0.3,0.03331656672171976,0.09360306686506756,-0.028993320181102455,0.09311646461871459,120,1
12,joint_4_1,0.028603423126369612,0.09645739210890814,0.01138827256688424,0.011556209139952107,0.996751947269941,110,10,-2.9184534087873857,2.698910451050333,-0.3,0.3,0.03999169569325385,0.09633743543330915,-0.01721515055948537,0.09657734878450712,120,1
13,joint_4_2,0.02195292259821232,0.09662044104898045,0.00871296754014753,0.008548070083216073,0.998222832209074,110,10,-2.9620682722151273,2.801348039963573,-0.3,0.3,0.03066589013835985,0.09644635058382328,-0.01323995505806479,0.09679453151413761,120,1
14,joint_4_3,0.038282879421741065,0.08869750682965113,-0.004432388076494053,0.0052490566624274855,0.999387720092325,100,20,-2.9656468385713963,3.023527374105991,-0.3,0.3,0.03385049134524701,0.08924987486121769,-0.042715267498235114,0.08814513879808458,120,1
15,joint_4_4,0.029818302112848166,0.09531121407008925,0.0029432959608801518,0.0020836117363454833,0.999903523602937,100,20,-2.856867137349763,2.826139445096249,-0.3,0.3,0.03276159807372832,0.0947767835892964,-0.026875006151968014,0.09584564455088207,120,1
16,joint_5_1,0.022333882134765046,0.09696897561332682,-0.0015027055497216675,0.0017741501344852144,0.9999241060599471,109,11,-2.877413582352852,2.8515757966373094,-0.3,0.3,0.020831176585043378,0.09800662945565274,-0.023836587684486713,0.09593132177100089,120,1
17,joint_5_2,0.015938888413748742,0.09501764908412172,0.011532485303912892,0.011262026080702625,0.9969152118583852,110,10,-3.1242705687783503,2.891620932785099,-0.3,0.3,0.027471373717661632,0.09477876881210572,-0.0044064031098358485,0.09525652935613771,120,1
18,joint_5_3,0.032084511322291925,0.09519648485745444,-0.004273253266841689,0.003144089930328623,0.9997803266335556,100,20,-2.7922591900072353,2.8440379298203577,-0.3,0.3,0.027811258055450233,0.09592374721648977,-0.03635776458913361,0.09446922249841909,120,1
19,joint_5_4,0.02652923743740923,0.09343036801255947,0.003878110364479565,0.003840426528643382,0.9996722472017354,100,20,-2.9695644942712347,2.8847670876346836,-0.3,0.3,0.030407347801888796,0.09336858997861941,-0.022651127072929666,0.09349214604649952,120,1
